mtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,25395,30347,49031,6556,45358,45382,44636,5374,45719,7868,41733,44824,49825,43324,26405,32502,43703,10839,43536,11007,49448,25273,44399,17724,44816,34416,2654,14320,21690,40590
2,10532,8425,9849,31164,43985,32340,11793,47799,42484,12051,18276,9369,12231,18287,32979,27013,26227,19386,44683,19785,43601,46945,46934,29673,45161,18472,3224,31425,2059,46195
3,10438,31218,44370,20670,14058,40430,48566,2168,35630,43172,20358,10329,19409,34264,24744,7877,14229,24817,17625,19997,47155,13498,33157,37520,34836,22896,46597,32050,32709,28757
4,38320,47615,47298,42591,47468,14625,1673,49706,35220,32370,25960,12287,26839,11087,34511,42037,46350,2260,37888,1802,26994,33122,48128,23750,30324,35162,32910,11484,44815,32421
5,48155,12871,41631,15537,43241,23688,6397,39522,44312,49621,24608,46838,41497,39951,49041,10337,21678,7556,13666,31838,21576,44337,1788,2681,42496,46858,26446,20942,27687,46723
6,14152,41532,36187,30948,37908,17044,4244,19404,21882,18324,34230,26854,37223,6930,36069,40110,18447,43706,10139,38606,22953,27005,24932,31876,47180,7617,18885,14676,27205,18966
7,35095,41900,26166,7455,29081,14375,40700,20125,16079,14097,49123,33017,18496,37345,21812,39223,22748,11516,42869,37745,49028,26190,33327,14059,3366,6022,20238,1714,25334,9077
8,25330,38549,1387,14829,39631,15019,15272,5784,8967,8560,7671,43835,5930,9537,12781,47500,12485,2595,4576,34784,17696,43401,4512,37923,41633,25461,32355,27698,27763,25443
9,34994,45710,15850,41329,5508,40079,22333,35832,26230,13434,27210,36932,14377,45135,31089,24042,5751,40612,8070,28525,24743,30220,22756,46094,32531,8488,18069,23966,33020,28625
10,22177,25094,38598,39144,29702,8929,30212,8095,32772,28442,18753,43626,17599,15214,22449,37490,29253,35674,23395,34307,25769,7527,3513,10954,18943,16038,40025,38037,18608,4420
11,31587,40394,27940,39716,37824,40894,24891,28052,10190,37101,23839,29816,42096,37781,32107,17079,7765,17236,36509,3388,23838,19620,20270,12594,2724,47485,18866,1975,46782,29120
12,37736,26544,8633,9366,26423,5299,32466,48597,2747,9631,2873,1624,25126,27936,3511,2725,7918,17352,10571,22464,25518,47033,32614,20501,11802,38586,13126,11412,37000,30723
13,25334,21457,20241,32954,30900,16632,41693,33269,21657,27047,39260,34265,6911,31940,41301,31971,42167,41257,34374,36081,39724,48262,5344,49932,44538,47913,30708,35255,13399,10786
14,18475,8879,30472,20510,19677,1602,6184,23393,15329,11893,41289,23337,22095,12941,14459,29655,2686,19906,43240,5108,29586,48063,25317,15642,27992,16798,27393,2637,31799,37344
15,43491,3782,29828,9442,20533,16660,22797,44741,14902,10285,47402,5828,31430,3728,12809,42083,3683,40704,21758,18724,15618,11389,24956,2196,34246,39453,1629,22981,30184,2104
16,3484,21696,22689,32816,11647,29478,35905,49886,43407,9264,44168,19450,38151,22219,13884,18100,14494,8146,38702,22613,20970,9188,48079,24349,1144,31688,31927,29972,34685,43187
17,21970,22229,11602,4845,33595,49168,5452,10134,1639,45150,11359,29607,40311,39110,2865,3507,38179,16829,22333,30293,8325,13297,21616,49440,45848,23918,34159,4852,12262,32188
18,41826,5371,35935,4043,38811,41116,28627,39010,23168,45924,4152,15874,25031,4090,12547,3170,48620,19680,30301,24942,12942,39102,38982,33196,3021,9812,19871,8825,42387,24526
19,4542,31077,3477,9859,24552,28838,11591,47524,8587,3756,20806,21539,43036,18238,40433,2745,4598,23437,25962,4004,39485,13797,22430,19481,43428,15090,8375,46670,17323,8370
20,1866,41670,41094,30336,9200,24821,20023,1790,17426,14984,48997,36325,5824,44901,16841,22492,49041,23796,22648,38552,20086,21096,39297,31589,38812,25338,48867,44535,38983,46111
21,24938,21141,27784,3061,21046,43331,27685,6441,42780,22933,19360,31349,21088,44815,23054,7634,30222,42975,11022,46259,19767,17487,42832,6833,24836,29880,45778,44653,15287,14366
22,21696,39453,41533,47823,1868,11815,40673,31365,36093,8407,37830,48831,12418,44008,47803,18498,15044,14919,16565,20355,9141,20523,29426,2452,19302,7165,1546,39089,14353,20362
23,14550,22494,26321,34780,18422,34984,46570,24151,11276,39577,35611,23942,22456,2704,2893,34942,12003,38761,16932,8429,43497,13203,18747,11236,39963,16143,4873,14740,1775,22093
